"","spp","hadsstannp0","hadsstannp10","hadsstannp25","hadsstannp50","hadsstannp75","hadsstannp90","hadsstannp100","hadsstwannp0","hadsstwannp10","hadsstwannp25","hadsstwannp50","hadsstwannp75","hadsstwannp90","hadsstwannp100","en4sbtannp0","en4sbtannp10","en4sbtannp25","en4sbtannp50","en4sbtannp75","en4sbtannp90","en4sbtannp100","en4sbtwannp0","en4sbtwannp10","en4sbtwannp25","en4sbtwannp50","en4sbtwannp75","en4sbtwannp90","en4sbtwannp100","en4sstannp0","en4sstannp10","en4sstannp25","en4sstannp50","en4sstannp75","en4sstannp90","en4sstannp100","en4sstwannp0","en4sstwannp10","en4sstwannp25","en4sstwannp50","en4sstwannp75","en4sstwannp90","en4sstwannp100","NA","NA","NA","NA","speciesName","decade","mean","quantile0.","quantile10.","quantile25.","quantile50.","quantile75.","quantile90.","quantile100.","wtd.mean","wtd.quantile0.","wtd.quantile10.","wtd.quantile25.","wtd.quantile50.","wtd.quantile75.","wtd.quantile90.","wtd.quantile100.","sampleSize","cellCount","maxent_mean","maxent_quantile0.","maxent_quantile10.","maxent_quantile25.","maxent_quantile50.","maxent_quantile75.","maxent_quantile90.","maxent_quantile100.","maxent_wtd.mean","maxent_wtd.quantile0.","maxent_wtd.quantile10.","maxent_wtd.quantile25.","maxent_wtd.quantile50.","maxent_wtd.quantile75.","maxent_wtd.quantile90.","maxent_wtd.quantile100.","maxent_cellCount"
"1",25,5.16,24.649,26.9825,27.93,28.53,28.73,29.48,5.39,24.85,27.06,27.96,28.54,28.73,29.48,-0.165222778320299,0.970778015136699,1.20573074340818,1.46916412353517,2.29509643554687,16.729892578125,29.2143792724609,-0.164749145507812,0.979461934126568,1.20668011513577,1.4678586453869,2.29169474686718,16.7182598054578,29.2143792724609,6.20433227539064,25.0280475463867,27.4486306762695,28.328053894043,28.8981452941894,29.1711143798828,29.6550823974609,6.4044171142578,25.2453628891748,27.5194419492428,28.3560820683494,28.9070601314119,29.1770063693819,29.6550823974609,NA,NA,NA,NA,"Abalistes stellatus","60-09",26.7791128265125,15.2827835083008,24.8387130737305,26.5810747146606,27.7332324981689,28.1088914871216,28.5967803955078,28.8264999389648,26.9218468896285,15.3657836914062,25.1509702552976,26.6516506079799,27.7924232966643,28.131435778572,28.6242436356856,28.8264999389648,4810,179,27.7306833881553,15.3657836914062,26.4385334014893,27.4242420196533,28.0452003479004,28.5853748321533,28.7345436096191,29.3785991668701,27.7707398830024,15.3805665969849,26.5105365428013,27.4511410120183,28.066815597657,28.5891453289606,28.7366462788906,29.3785991668701,2639
"2",91,15.61,24.17,25.6225,26.87,27.53,27.93,29.04,15.95,24.29,25.69,26.9,27.54,27.94,29.04,0.0403161621093773,0.989561889648422,1.1448896789551,1.38127563476564,1.99077911376952,4.14434826660156,29.2143792724609,0.181822509765652,0.991292433818916,1.14457457636629,1.38373842694369,1.98583545453319,4.11846755524878,29.2143792724609,14.0062341308594,24.478587097168,25.8868426513672,27.1751712036133,27.9022500610352,28.3153919067383,29.5009942626953,15.4480346679687,24.588278113,25.949669802228,27.207696619854,27.9145255301999,28.3298841147524,29.5006369177394,NA,NA,NA,NA,"Ablennes hians","60-09",24.9913153146443,14.9406003952026,20.5054870605469,23.1578950881958,26.0605421066284,27.4596967697144,27.8122180938721,28.0308494567871,25.1948981494352,17.7117824554443,21.2923221456965,23.404512397923,26.369119928593,27.4994666063059,27.8704690863933,28.0308494567871,59,38,26.8606607603604,21.2786331176758,25.0233488082886,26.4498162269592,27.3278493881226,27.756865978241,27.9870346069336,28.4119338989258,26.896681875336,21.4557495117188,25.1479274137352,26.5051401440638,27.3497206897441,27.7609810947604,27.9933824462205,28.4119338989258,1352
"3",143,11.61,15.695,18.92,21.22,26.85,27.865,28.19,11.89,16.3111222730462,19.16,21.9878056826156,27.22,27.9,28.19,1.69438598632814,2.09981262207032,2.31014892578123,4.02158355712891,12.9121138000488,13.6283032226562,28.4293115234375,1.70574645996095,2.1039943704625,2.33814598350604,4.00445157427585,12.8913166879011,13.6681856128966,28.4293115234375,10.8674725341797,15.5726214599609,18.7229835510254,21.3181903076172,26.8832586669922,28.0297299194336,28.6889447021484,11.1178997802734,16.0590939876327,19.2068030246077,22.2135756324874,27.1965945741408,28.0815845658295,28.6889447021484,NA,NA,NA,NA,"Abralia veranyi","60-09",18.6454277492705,13.0664501190186,14.4704666137695,15.686616897583,18.6326999664307,20.3341999053955,24.3337993621826,28.13450050354,18.9081621292773,13.5207834243774,14.9905369742578,16.1927269719283,18.6483492983135,20.4807436357806,27.1655747952549,28.13450050354,87,21,19.8235735400417,9.69019985198975,14.641139793396,16.6200919151306,19.193133354187,22.6815204620361,26.8481349945068,29.3706340789795,20.2029915475221,9.86289978027344,14.937593829777,17.0076477917795,19.4751751188191,23.3511389055314,27.0896515967025,29.3706340789795,4412
"4",150,10.14,14.21,16.21,18.36,20.3275,22.45,27.45,10.5,14.4823006271049,16.52,18.57,20.5561273516432,22.6907056439438,27.45,-0.0773901367187477,0.423069458007802,0.694171447753916,0.922579345703127,1.78121414184572,2.76844696044921,21.8428851318359,-0.0765527343750136,0.455453683341959,0.719074253959858,0.990279244815065,1.92002447394496,2.82769720023957,21.8428851318359,9.92954772949219,14.8207678222656,16.7493893432617,18.8144915771484,20.7914743041992,23.0660818481445,27.7013232421875,10.2584509277344,15.0618413425352,16.9688497697199,19.0330070560496,20.9960339523278,23.3038156383638,27.7013232421875,NA,NA,NA,NA,"Abraliopsis gilchristi","60-09",18.5052161802325,12.8205003738403,14.9830230712891,17.5663509368896,18.5733337402344,19.9924163818359,20.9388469696045,27.1292667388916,18.6072672723995,13.0592336654663,15.8816561407576,17.6714712596274,18.6189309780397,20.1499838861179,20.9537226929446,27.1292667388916,217,57,18.5970007587948,13.7662830352783,15.7229201316833,17.2652621269226,18.7691669464111,20.0480923652649,21.0488098144531,22.6271991729736,18.6750701607881,14.0193166732788,15.8320290232285,17.3735693864392,18.8653977277519,20.1009643053483,21.0819560482803,22.6271991729736,1688
"5",159,-1.77,-0.166,2.32,8.1,10.775,12.532,20.48,-1.64,1.44661305692327,5.85088130710111,9.56044065355055,11.3015229971894,12.7921035629001,20.1191602952866,-1.17308898925779,0.213470581054662,1.85914825439454,4.41896911621092,8.41237915039062,10.5936647949219,13.7597271728516,-0.44579162597654,1.16428869661638,3.45183115785344,7.09730677891299,9.33030252247802,10.9360226225594,13.7290175765324,-1.83268066406248,0.0563682861328289,3.05771697998046,7.61277954101564,10.4305844116211,11.878287109375,19.6380029296875,-1.4879675292969,1.59194612751479,5.3677662173458,9.19546753745815,10.9243491117019,12.2513255541449,19.2299469880704,NA,NA,NA,NA,"Abramis brama","60-09",10.223177318573,5.14731550216675,7.17553100585937,9.007887840271,10.8387913703918,11.5270206928253,12.6758013725281,12.8562669754028,10.4213917487152,6.46735000610352,7.62427594094916,9.49555015563965,10.9905646937356,11.9326082521505,12.6821666145778,12.8370493218089,15258,50,8.65208455955292,-1.35471594333649,3.67651686668396,6.60405015945435,9.13399982452393,11.1820163726807,12.8093700408936,14.9358329772949,9.1509563785247,0.214465871453285,4.5041048313192,7.28858808342094,9.59016895315856,11.4755056583243,12.966102430302,14.9358329772949,393
"6",165,2,8.868,15.265,22.72,25.74,27.7,29.48,2.04,10.27,17.49,23.46,26.06,27.98,29.48,-0.518771972656225,0.79535034179687,0.961894836425785,1.15780395507812,1.33807708740233,1.66030847167971,3.58576660156251,-0.515538940429678,0.804930795691564,0.983811019410938,1.16557762825405,1.35172163347179,1.66293351907037,3.58576660156251,2.34603759765628,9.26092614746093,15.756696472168,23.0245245361328,25.9858941650391,28.1124423828125,29.6538299560547,2.42007690429688,10.6981796656383,18.0590864143866,23.688602747955,26.3348257017611,28.2695268179732,29.6538299560547,NA,NA,NA,NA,"Abudefduf abdominalis","60-09",25.194861014684,23.2817325592041,24.0370195388794,24.7629790306091,25.2917833328247,25.5317749977112,25.6635948181152,28.3924999237061,25.2235514285358,23.2872829437256,24.3928313133219,24.8109534902889,25.3120698084996,25.5871545307194,25.6725361060755,28.3924999237061,286,24,25.0828864483366,17.5407333374023,22.0996417999268,23.5330662727356,25.0448837280273,26.7177996635437,28.4741249084473,29.4216003417969,25.1668403639313,17.8846664428711,22.1845233675612,23.6498018565433,25.1197741999555,26.7880168093444,28.5467146490006,29.4216003417969,4346
"7",166,14.18,23.516,25.72,27.1,28.215,28.69,29.38,14.99,23.782171994435,25.8404299860875,27.1708599721749,28.27,28.71,29.38,0.0403161621093773,1.35091943359375,1.80295806884766,3.7420654296875,21.5230975341797,27.1519774169922,29.3383526611328,0.181822509765652,1.35481874036743,1.81282430663381,3.76011683223884,21.5753164611861,27.1882996511244,29.3383526611328,13.1657238769531,23.7889246826172,25.9702459716797,27.4421490478516,28.439567565918,28.9932030029297,29.7951885986328,14.0062341308594,24.0343637852199,26.1727854938392,27.5070942457839,28.5161310599085,29.0085550066032,29.7951885986328,NA,NA,NA,NA,"Abudefduf bengalensis","60-09",25.9371883251049,23.1130657196045,23.7620098114014,24.6554088592529,26.1026840209961,26.9632253646851,28.026309967041,28.7702503204346,25.9821477665805,23.1601829528809,23.9815347512772,24.9767266393227,26.2305167812061,27.0105201502567,28.0315971906016,28.7702503204346,110,27,25.9452405857071,16.2355995178223,19.9567031860352,24.7706747055054,27.2579078674316,28.2738924026489,28.7115394592285,29.4623832702637,26.1308484074898,16.2355995178223,20.5291109158572,25.1854097859595,27.3586980252961,28.3233788162851,28.7236924119833,29.4623832702637,3052
"8",177,18.27,22.925,25.23,26.91,27.6575,27.975,29.46,18.31,23.14,25.4113302162222,27,27.67,27.98,29.46,0.37349975585937,1.22190582275391,1.86701171875001,2.20988830566407,3.97592987060548,12.8937298583984,28.4293115234375,0.3765222167969,1.21843955847124,1.85840148839765,2.19530886313804,3.96361082149904,10.7649832944209,28.4293115234375,16.6998229980469,23.2964865112305,25.478998260498,27.093525390625,27.9269876098633,28.1952029418945,29.6905072021484,17.2624737548828,23.4470640536299,25.6333655785085,27.1741479811706,27.9475889886629,28.2096363313759,29.6905072021484,NA,NA,NA,NA,"Abudefduf saxatilis","60-09",26.3853721947506,22.4518165588379,23.8547735214233,24.5658550262451,27.0001754760742,27.7506828308105,28.0800212860107,28.1854991912842,26.4632417715229,22.9696674346924,23.997714568052,24.7847088049699,27.2176658585256,27.8337508346249,28.0839344116266,28.1854991912842,363,58,26.6333367594369,19.3411998748779,23.6895929336548,25.8410911560059,27.3448076248169,28.0404877662659,28.4656255722046,28.829532623291,26.7058342254438,19.4317169189453,23.8380372285368,25.9892011597248,27.3867073530769,28.0530088366797,28.4740691342916,28.829532623291,2838
"9",178,21.85,26.51,27.6,28.42,28.92,29.246,29.5,21.99,26.58,27.6460973581389,28.44,28.94,29.25,29.5,0.772621459960931,1.03796166992186,1.17984741210938,1.41144409179685,2.22799530029297,12.8999693603515,29.2143792724609,0.77431396484377,1.0368252611378,1.17986509414971,1.41501054713842,2.23856028406744,13.352098893306,29.2143792724609,19.786693725586,26.6631469726562,27.967776184082,28.7506872558594,29.1538568115234,29.4435700683594,29.6905072021484,20.5936181640625,26.7607598563431,28.0308738298587,28.7664884874179,29.1668225986634,29.44964098664,29.6905072021484,NA,NA,NA,NA,"Abudefduf septemfasciatus","60-09",27.0574179331462,23.1130657196045,24.8195007324219,25.5304670333862,27.7591495513916,28.746958732605,28.9626571655273,29.0849990844727,27.1075854340945,24.3721008300781,25.4930477769529,25.9022749037177,27.9414784147901,28.775607363202,29.022086808351,29.0849990844727,24,15,27.922107037376,25.4906005859375,26.870573425293,27.3401908874512,27.9217586517334,28.57275390625,28.9253824234009,29.5028991699219,27.9293094791264,25.4978008270264,26.8770266532417,27.3477302882413,27.9289930452002,28.5812876061968,28.931638621851,29.5028991699219,8432
"10",179,19.78,24.259,25.67,27.33,28.45,28.88,29.49,19.79,24.35,25.74,27.3746073860317,28.47,28.89,29.49,0.692573852539056,1.18886041259763,1.38814849853514,1.72858612060548,3.09442611694334,21.5711234130859,29.3383526611328,0.716913452148447,1.18885005804571,1.3877371440096,1.72891031718119,3.0881473403039,21.5749214604666,29.3383526611328,18.1308282470703,24.6405590820312,26.0505920410156,27.7078115844727,28.7611869812012,29.2123362426758,29.7951885986328,18.4091973876953,24.7292497507778,26.1440679102188,27.7673200051255,28.7831722500073,29.2224238973182,29.7951885986328,NA,NA,NA,NA,"Abudefduf sexfasciatus","60-09",26.0424812316895,20.2693672180176,23.2402172088623,24.8550662994385,26.5895328521729,27.8501167297363,28.5044467926025,28.9539337158203,26.1327841491399,21.4673175811768,23.5490880848312,25.0285366620001,26.6968031666847,27.891922741675,28.5319577037185,28.9539337158203,116,45,26.217835034217,15.2559003829956,22.8101669311523,24.8180999755859,26.7767505645752,28.0561332702637,28.7532493591309,29.4908332824707,26.3026122379502,18.1053009033203,23.0068582043077,24.9388329687414,26.8463251566774,28.0869878303076,28.7670026045153,29.4908332824707,6917
